SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
3_S02E04_395,3_S02E04_395_u,"No, we all have equalized pay, remember?",0:02.541000,GILFOYLE,SV,0.0,NONE,Neutral,Neutral,5.0,5.0
1_10748,1_10748_u,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",0:07,AMY,BBT,1.0,PRO,Disgust,Sadness,3.0,7.0
1_S10E19_015,1_S10E19_015_u,Sure. You're living here for free. I guess I owe you.,0:3.099999,LEONARD,BBT,1.0,EMB,Anger,Excitement,3.0,8.0
3_S02E03_229,3_S02E03_229_u,Are you out of your mind?,0:01.208000,OTHER,SV,0.0,NONE,Anger,Anger,4.0,5.0
1_S10E04_277,1_S10E04_277_u,I was disappointed to see the man I was engaged to pulling rainbow scarves out of his fly.,0:05.436000,BERNADETTE,BBT,0.0,NONE,Anger,Anger,4.0,7.0
1_S12E06_111,1_S12E06_111_u,"You get that I'm wearing a corset because of you, not because I'm tired of breathing?",0:04.402000,AMY,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_S11E02_030,1_S11E02_030_u,Really? You?,0:1.740000,SHELDON,BBT,1.0,ILL,Disgust,Surprise,3.0,6.0
2_72,2_72_u,Oh well. It probably would've been the most constructive solution.,0:06,ROSS,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
1_4286,1_4286_u,"All right, all right. He can buy his own desk.",0:04,SHELDON,BBT,0.0,NONE,Disgust,Disgust,3.0,7.0
1_S11E06_391,1_S11E06_391_u,How irresponsible do you all think I am?,0:03.130000,PENNY,BBT,0.0,NONE,Anger,Anger,4.0,6.0
2_77,2_77_u,"Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.",0:05,MONICA,FRIENDS,0.0,NONE,Frustration,Frustration,4.0,4.0
1_S11E11_127,1_S11E11_127_u,Great. Can you bring a few things?,0:02.734000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_5571,1_5571_u,"Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.",0:07,SHELDON,BBT,1.0,PRO,Disgust,Excitement,3.0,8.0
3_S02E05_378,3_S02E05_378_u,"I'm sure you were great at fingerpainting, also, Dinesh.",0:2.792,GILFOYLE,SV,1.0,PRO,Disgust,Happiness,4.0,7.0
3_S01E05_456,3_S01E05_456_u,Maybe my leisurely pace is just a little faster than yours.,0:3.157,GILFOYLE,SV,1.0,PRO,Ridicule,Neutral,4.0,7.0
2_567,2_567_u,"Well yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia.",0:07,CHANDLER,FRIENDS,1.0,EMB,Frustration,Happiness,2.0,8.0
3_S06E02_171,3_S06E02_171_u,"I finished Cryptonomicon,",0:01.624000,GILFOYLE,SV,0.0,NONE,Neutral,Neutral,5.0,5.0
1_10496,1_10496_u,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",0:14,SHELDON,BBT,1.0,PRO,Frustration,Happiness,2.0,8.0
2_178,2_178_u,"This is so good, that I am gonna enjoy it in the balcony. I can enjoy my view, whilst I enjoy my desert.",0:09,CHANDLER,FRIENDS,1.0,ILL,Disgust,Happiness,3.0,6.0
2_280,2_280_u,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?",0:08,CHANDLER,FRIENDS,1.0,EMB,Frustration,Happiness,3.0,8.0
1_S09E23_102,1_S09E23_102_u,Wow. (clears throat) Didn't even make it out of the parking lot.,0:4.338000,PENNY,BBT,1.0,PRO,Frustration,Surprise,3.0,8.0
1_S09E07_285,1_S09E07_285_u,"Fine, I'll leave. But it sounds like somebody needs a fresh diaper.",0:7.340999,RAJ,BBT,1.0,ILL,Disgust,Neutral,3.0,8.0
1_S12E23_209,1_S12E23_209_u,So not Mr. and Mrs. Wackadoodle?,0:2.001999,HOWARD,BBT,1.0,ILL,Ridicule,Sadness,4.0,7.0
2_260,2_260_u,"Okay, are you aware unagi  is an eel?",0:02,CHANDLER,FRIENDS,1.0,ILL,Anger,Neutral,4.0,7.0
1_8217,1_8217_u,"Go out with me on one date, and I promise you, you'll see.",0:06,RAJ,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
2_413,2_413_u,Some guy bought it. I'm sorry. I tired to stop it but they put me in jail!,0:03,PHOEBE,FRIENDS,0.0,NONE,Sadness,Sadness,3.0,7.0
2_71,2_71_u,"ThatÕs good, just keep rubbing your head. That will turn back time",0:06,JOEY,FRIENDS,1.0,ILL,Ridicule,Excitement,3.0,8.0
1_S12E21_167,1_S12E21_167_u,"Yes, but it may just be the Indian accent.",0:3.917000,SHELDON,BBT,1.0,PRO,Ridicule,Sadness,4.0,7.0
2_259,2_259_u,"I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?",0:09,PERSON1,FRIENDS,0.0,NONE,Excitement,Excitement,7.0,7.0
1_S11E10_062,1_S11E10_062_u,Why not hexadecimal?,0:01.600000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_281,2_281_u,"Ofcourse no Ma, I am referring to Carrey Grant, he is living in the broom closet.",0:04,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Happiness,4.0,6.0
1_S12E14_125,1_S12E14_125_u,"including the rare ""DayQuilt"" misprint from 1996.",0:3.336999,OTHER,BBT,1.0,PRO,Disgust,Excitement,3.0,8.0
2_151,2_151_u,"Yeah, I mean, it would be rude to them for us to leave now.",0:02,CHANDLER,FRIENDS,1.0,PRO,Anger,Happiness,3.0,7.0
3_S01E05_417,3_S01E05_417_u,"Anything to do with ""error"" sounds like your whole vibe.",0:3.240999,GILFOYLE,SV,1.0,EMB,Ridicule,Neutral,4.0,7.0
1_S10E17_096,1_S10E17_096_u,"No. Which will make me miserable, which is usually Sheldon's job.",0:3.902999,LEONARD,BBT,1.0,EMB,Frustration,Neutral,3.0,8.0
1_S11E10_309,1_S11E10_309_u,Then you never saw any other people?,0:2.736000,PENNY,BBT,1.0,PRO,Disgust,Surprise,3.0,7.0
2_440,2_440_u,"No its not big, not at all. Kind of the same lines as, I don't know, having a third nipple!",0:07,MONICA,FRIENDS,1.0,PRO,Anger,Neutral,2.0,8.0
1_7341,1_7341_u,I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.,0:07,SHELDON,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_54,2_54_u,"That's easy for you to say, you weren't almost just killed.",0:03,RACHEL,FRIENDS,1.0,EMB,Anger,Sadness,3.0,8.0
1_6534,1_6534_u,"No, but maybe she wants a man with a pocket watch.",0:05,SHELDON,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
1_1732,1_1732_u,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,0:06,PERSON,BBT,1.0,ILL,Ridicule,Surprise,3.0,8.0
1_4477,1_4477_u,I just want to ask you a few questions about Howard Wolowitz.,0:06,PERSON,BBT,0.0,NONE,Frustration,Frustration,4.0,5.0
1_S12E11_216,1_S12E11_216_u,Maybe she doesn't have tip money?,0:2.036000,BERNADETTE,BBT,1.0,PRO,Ridicule,Neutral,2.0,7.0
1_S12E23_470,1_S12E23_470_u,"This might be the glue talking, but that was a very pleasurable 139 and a half hours.",0:7.040000,LEONARD,BBT,1.0,ILL,Frustration,Happiness,4.0,7.0
1_S12E03_174,1_S12E03_174_u,I get that.,0:01.567000,PENNY,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_3707,1_3707_u,"Oh, I'm so glad you asked it like that. You.",0:03,LEONARD,BBT,1.0,PRO,Disgust,Happiness,4.0,7.0
2_193,2_193_u,"Yeah, a slice of cheesecake and-and a date if you're given'  'em out.",0:02,PERSON,FRIENDS,0.0,NONE,Excitement,Excitement,6.0,5.0
1_S10E07_163,1_S10E07_163_u,"I'll take that as a ""Yes."" She's secretly been moving your collectibles into storage a little at a time and you haven't noticed.",0:07.792000,HOWARD,BBT,0.0,NONE,Excitement,Neutral,6.0,6.0
1_S12E12_371,1_S12E12_371_u,They wanted you?,0:2.088999,SHELDON,BBT,1.0,PRO,Disgust,Surprise,3.0,8.0
1_S11E07_161,1_S11E07_161_u,I don't know. Poor Bert?,0:2.170000,PENNY,BBT,1.0,PRO,Ridicule,Sadness,3.0,8.0
3_S01E04_009,3_S01E04_009_u,"Oh, yeah. No, she's... She's very pretty.",0:02.480000,RICHARD,SV,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S11E07_026,1_S11E07_026_u,"It does, but it's still geology.",0:02.800000,SHELDON,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E13_224,1_S12E13_224_u," Yeah, who remembers the guy who was trying to find India and discovered America instead?",0:4.926000,HOWARD,BBT,1.0,PRO,Ridicule,Surprise,4.0,8.0
1_S09E20_156,1_S09E20_156_u,Astronauts saw him carrying that.,0:2.968999,HOWARD,BBT,1.0,ILL,Frustration,Neutral,3.0,7.0
1_S10E04_194,1_S10E04_194_u,"I've never lived with someone, either. This is a lot for me, too.",0:03.500000,AMY,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_10004,1_10004_u,"And of those few months, how long have you been a demented sex pervert?",0:07,SHELDON,BBT,0.0,NONE,Anger,Anger,2.0,7.0
1_S09E24_014,1_S09E24_014_u,Did she think you were choking or...,0:2.168000,LEONARD,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
3_S01E03_249,3_S01E03_249_u,"We might as well have interns, we hire illegal aliens.",0:2.474,DINESH,SV,1.0,EMB,Ridicule,Neutral,4.0,8.0
1_S11E04_067,1_S11E04_067_u,"Nah, it's worth it.",0:01.760000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_188,2_188_u,You had no relationship!!,0:01,MONICA,FRIENDS,0.0,NONE,Anger,Anger,3.0,7.0
2_154,2_154_u,"Okay, does this look like a garbage can to you?",0:04,PHOEBE,FRIENDS,0.0,NONE,Anger,Anger,4.0,6.0
1_5212,1_5212_u,"I'm sorry, Sheldon bought a loom and learned how to weave?",0:05,PERSON3,BBT,0.0,NONE,Surprise,Surprise,6.0,6.0
1_S10E19_252,1_S10E19_252_u,You sure you don't fit in? You sound like a catty bitch to me.,0:3.539999,HOWARD,BBT,1.0,PRO,Ridicule,Surprise,3.0,8.0
1_340,1_340_u,"Sure, cut the foreigner in half. There's a billion more where he came from.",0:06,RAJ,BBT,1.0,PRO,Frustration,Neutral,3.0,7.0
1_S12E07_264,1_S12E07_264_u,(whining): It's just so hard!,0:01.533000,LEONARD,BBT,0.0,NONE,Frustration,Frustration,3.0,7.0
1_S11E10_297,1_S11E10_297_u,"Oh, okay. Sorry. I wasn't ready for it. Try again.",0:03.468000,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,4.0
1_213,1_213_u,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",0:2,SHELDON,BBT,1.0,EMB,Frustration,Happiness,2.0,8.0
3_S02E10_133,3_S02E10_133_u,"Sorry, I couldn't remember your mother's name.",0:2.083999,GILFOYLE,SV,1.0,PRO,Ridicule,Sadness,4.0,8.0
1_5617,1_5617_u,Thanks for clearing that up,0:04,PENNY,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
2_425,2_425_u,And did he?,0:01,MONICA,FRIENDS,0.0,NONE,Excitement,Excitement,6.0,7.0
2_491,2_491_u,"Let me think! Let me think! Oh, I don't care.",0:03,CHANDLER,FRIENDS,1.0,EMB,Frustration,Neutral,3.0,7.0
1_8042,1_8042_u,"No, just me, her and a couple of the big wigs. It's part of a bonus she got.",0:05,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_1478,1_1478_u,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",0:11,HOWARD,BBT,1.0,EMB,Sadness,Happiness,2.0,6.0
1_3649,1_3649_u,"Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house.",0:04,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_143,1_S09E03_143_u,"Fine, I guess. I've been focusing on me.",0:03.335000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E12_086,1_S12E12_086_u,Leonard was just saying how he was hoping to have dinner with one of your ex-boyfriends on his expensive boat.,0:5.614000,BERNADETTE,BBT,1.0,ILL,Ridicule,Happiness,2.0,8.0
1_S09E06_168,1_S09E06_168_u,"Uh, he's Indian. We've already got one of those.",0:3.537000,RAJ,BBT,1.0,PRO,Ridicule,Neutral,2.0,8.0
3_S04E02_217,3_S04E02_217_u,"No, I think you should use more.",0:2.29,GILFOYLE,SV,1.0,PRO,Ridicule,Excitement,4.0,3.0
1_S11E06_187,1_S11E06_187_u,"You want to lie down, watch a movie?",0:04.270000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_572,2_572_u,No! I'm so happy for them!,0:01,RACHEL,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,7.0
2_385,2_385_u,"No, I know, but I,he just went on.",0:01,RACHEL,FRIENDS,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S11E06_003,1_S11E06_003_u,"I'm not allowed to eat for 12 hours before my surgery, and I only got two more minutes.",0:04.310000,HOWARD,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_S09E14_455,1_S09E14_455_u,"He never disappoints, does he?",0:5.605,LEONARD,BBT,1.0,ILL,Disgust,Happiness,4.0,6.0
2_444,2_444_u,"Ross-Ross, you have no idea what this means to me!",0:02,RACHEL,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
1_506,1_506_u,Not to mention you'd have to power down on saturdays.,0:04,SHELDON,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_11201,1_11201_u,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0:07,AMY,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_S11E08_137,1_S11E08_137_u,I don't know. Target practice?,0:3.37,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,7.0
1_6020,1_6020_u,You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.,0:11,SHELDON,BBT,1.0,PRO,Anger,Neutral,3.0,8.0
2_190,2_190_u,Well scott I am sure we are all really really looking forward to hear your story.,0:06,MODERATOR,SARCASMOHOLICS,1.0,PRO,Ridicule,Excitement,3.0,8.0
1_5166,1_5166_u,"Yeah, it's a great time to be alive, isn't it?",0:04,PENNY,BBT,1.0,PRO,Disgust,Happiness,2.0,7.0
1_S12E23_539,1_S12E23_539_u,"It was her, right?",0:1.902000,HOWARD,BBT,1.0,ILL,Ridicule,Surprise,3.0,7.0
1_533,1_533_u,"Technically, yes. But, if you'll notice... It's reversible!",0:07,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E08_195,1_S11E08_195_u,I know. It was when I stubbed my toe.,0:04.240000,AMY,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
2_387,2_387_u,"Yes, I know, but her friend sounds like such a...",0:04,CHANDLER,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,6.0
2_429,2_429_u,"I really, really enjoyed it. Very exotic.",0:04,PHOEBE,FRIENDS,1.0,ILL,Frustration,Happiness,3.0,7.0
1_S11E05_370,1_S11E05_370_u,"Leonard, what are you doing?",0:01,PENNY,BBT,0.0,NONE,Fear,Fear,4.0,4.0
1_162,1_162_u,"Sheldon, if you were a robot, and I knew and you didn't...",0:06,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_471,2_471_u,Amazing.,0:01,MEMBER-GIRL,SARCASMOHOLICS,1.0,ILL,Sadness,Happiness,3.0,6.0
1_S12E02_466,1_S12E02_466_u,Do your 63 other crayon friends know you're out?,0:2.036000,OTHER,BBT,1.0,EMB,Ridicule,Neutral,3.0,7.0
1_7443,1_7443_u,We've kind of been involved in a five-year experiment.,0:05,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_6645,1_6645_u,"Well, that wady took high-wes pictures of my junk wast night for Cwaigswist.",0:07,PERSON1,BBT,0.0,NONE,Anger,Anger,3.0,7.0
2_553,2_553_u,"No just, nobody press on my stomach.",0:03,JOEY,FRIENDS,0.0,NONE,Sadness,Sadness,3.0,6.0
1_3660,1_3660_u,There a new girlfriend in there? 'Cause you might need one.,0:03,PENNY,BBT,1.0,PRO,Frustration,Neutral,2.0,8.0
2_187,2_187_u,That's so funny because you look more like Joey Tribbiani man slash woman.,0:04,CHANDLER,FRIENDS,1.0,EMB,Disgust,Happiness,2.0,7.0
2_125,2_125_u,I mean if you hadn't initiated it I-I-I know I would've.,0:03,ROSS,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,6.0
2_493,2_493_u,Did you tell her about the magical night that starts with the flush of every toilet?,0:05,CHANDLER,FRIENDS,1.0,EMB,Ridicule,Neutral,3.0,8.0
1_5751,1_5751_u,Of course you do. You're a cutie pie! Any girl would be lucky to have you!,0:06,BERNADETTE,BBT,0.0,NONE,Anger,Anger,3.0,8.0
1_11485,1_11485_u,Is that why you had to take him to Office Depot last night?,0:04,PENNY,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_2819,1_2819_u,"You know, I've always wanted to go to a Goth nightclub.",0:04,SHELDON,BBT,1.0,ILL,Disgust,Excitement,3.0,6.0
2_287,2_287_u,"Oh I am sorry, do you need a break?",0:03,CHANDLER,FRIENDS,1.0,ILL,Anger,Sadness,3.0,5.0
1_S12E01_150,1_S12E01_150_u,You want to say it? You can say it.,0:02.567000,BERNADETTE,BBT,0.0,NONE,Happiness,Happiness,6.0,5.0
1_S12E09_005,1_S12E09_005_u,"How about that? There is an ""I"" in ""team.""",0:2.301999,AMY,BBT,1.0,EMB,Anger,Neutral,3.0,8.0
2_492,2_492_u,"I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her.",0:05,ROSE,GOLDENGIRLS,1.0,PRO,Ridicule,Sadness,4.0,8.0
3_S02E03_561,3_S02E03_561_u,Does it mean taking a stack of cash and lighting it on fire?,0:4.373999,GILFOYLE,SV,1.0,PRO,Anger,Neutral,4.0,7.0
1_S11E05_060,1_S11E05_060_u,Wha... No!,0:02,PENNY,BBT,0.0,NONE,Disgust,Neutral,4.0,6.0
1_S11E03_220,1_S11E03_220_u,"Honey, that's you.",0:01.430000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_11055,1_11055_u,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",0:12,LEONARD,BBT,1.0,PRO,Disgust,Neutral,3.0,7.0
2_251,2_251_u,No!! You have been screwing us all day!,0:03,MONICA,FRIENDS,0.0,NONE,Anger,Anger,3.0,7.0
2_558,2_558_u,I can see it from right here. It'll cost you one husband.,0:04,CHANDLER,FRIENDS,1.0,PRO,Anger,Excitement,3.0,7.0
2_152,2_152_u,Your makeup?,0:02,ROSS,FRIENDS,1.0,PRO,Disgust,Neutral,4.0,7.0
2_486,2_486_u,"Anyway, they want to take us out Saturday night! What do you say?",0:03,RACHEL,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
1_S10E01_474,1_S10E01_474_u,Is he? I never noticed.,0:4.084,PENNY,BBT,1.0,ILL,Ridicule,Surprise,4.0,7.0
2_278,2_278_u,: Yeah.,0:01,PERSON,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,5.0
2_555,2_555_u,Hey! It's starting to snow.,0:02,ROSS,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
1_S10E04_105,1_S10E04_105_u,I'm the son of a gynecologist. I could be helpful.,0:02.500000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E01_100,1_S11E01_100_u,"Okay, you can stop leading with that part of the story.",0:02.640000,AMY,BBT,0.0,NONE,Disgust,Neutral,4.0,5.0
1_8746,1_8746_u,"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me "" Raiders of the Lost Ark "" for the first time.",0:09,AMY,BBT,1.0,EMB,Frustration,Sadness,2.0,8.0
2_166,2_166_u,But I'm the host!,0:01,JOEY,FRIENDS,0.0,NONE,Surprise,Surprise,6.0,6.0
2_467,2_467_u,That is the coast guard!,0:01,RACHEL,FRIENDS,0.0,NONE,Frustration,Frustration,4.0,5.0
1_S10E18_164,1_S10E18_164_u,Maybe we should take them both to the park and let them run around together.,0:5.305,HOWARD,BBT,1.0,PRO,Ridicule,Excitement,3.0,8.0
1_S10E05_079,1_S10E05_079_u,"Okay. Well, for starters, there's nothing wrong with keeping our toothbrushes in the same holder.",0:06.603000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_137,2_137_u,"Okay, but If he asks, I am not going to lie.",0:04,CHANDLER,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_5496,1_5496_u,"Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",0:18,PENNY,BBT,1.0,EMB,Anger,Neutral,3.0,8.0
1_10977,1_10977_u,Let's not talk about this in front of our friends.,0:04,HOWARD,BBT,0.0,NONE,Sadness,Sadness,4.0,5.0
2_560,2_560_u,So now I have to go so he'll think that I'm totally ok with seeing him!,0:03,PHOEBE,FRIENDS,1.0,PRO,Frustration,Neutral,4.0,5.0
2_241,2_241_u,"Oh I do. Oh no, wait a minute, I took it out of my shirt when I put it on this morning.",0:06,CHANDLER,FRIENDS,1.0,PRO,Disgust,Happiness,4.0,8.0
1_S12E03_239,1_S12E03_239_u,"I told him it was dumb, and now he'’s mad at me.",0:04.047000,HOWARD,BBT,0.0,NONE,Sadness,Neutral,4.0,4.0
1_12202,1_12202_u,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",0:06,LEONARD,BBT,1.0,PRO,Sadness,Neutral,3.0,7.0
1_9245,1_9245_u,Can we talk about something else? Do you know that I yodel?,0:06,SHELDON,BBT,0.0,NONE,Frustration,Frustration,4.0,5.0
3_S01E01_568,3_S01E01_568_u,To his beneficence.,0:01.650000,GILFOYLE,SV,0.0,NONE,Happiness,Happiness,6.0,6.0
1_9972,1_9972_u,"Ooh, I'm gonna check the fridge, and see if there are any clues inside a beer.",0:05,PENNY,BBT,1.0,PRO,Frustration,Happiness,3.0,7.0
2_28,2_28_u,"Carol called me to thank me for the lasagna, I asked, she told me.",0:03,MONICA,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S10E02_123,1_S10E02_123_u,"Oh, my God, it was me, it was me! I'm the one who blabbed she was pregnant!",0:02.417000,PENNY,BBT,0.0,NONE,Fear,Fear,2.0,9.0
2_340,2_340_u,Oh! Oop!,0:01,PHOEBE,FRIENDS,0.0,NONE,Surprise,Surprise,6.0,6.0
2_247,2_247_u,Uh yes! Thank you.,0:01,ROSS,FRIENDS,1.0,PRO,Anger,Happiness,3.0,8.0
2_511,2_511_u,"You said you spent all that money because those boots go with skirts, dresses and pants. What do you plan on wearing? A Chicken suit?",0:08,CHANDLER,FRIENDS,1.0,EMB,Anger,Excitement,3.0,9.0
2_111,2_111_u,What was that?!,0:01,RACHEL,FRIENDS,0.0,NONE,Surprise,Surprise,6.0,6.0
2_182,2_182_u,The liberarche marquee at Caesar's palace,0:06,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Neutral,2.0,7.0
1_S11E12_279,1_S11E12_279_u,"Yeah, did Sheldon send it to you?",0:02.637000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_531,2_531_u,"Yeah well that's because uh .. I stayed in my room. Yeah, you don't want to look in my hamper.",0:09,JOEY,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,6.0
2_358,2_358_u,"I do not always have to be,okay, okay.",0:02,ROSS,FRIENDS,0.0,NONE,Frustration,Frustration,4.0,5.0
1_S11E01_337,1_S11E01_337_u,"I'm sorry, what?",0:02.540000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_398,1_S10E04_398_u,"Well, I didn't, and it's your fault.",0:03.067000,AMY,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S12E12_281,1_S12E12_281_u,but... thank you for saying it out loud.,0:3.742999,PENNY,BBT,1.0,ILL,Disgust,Happiness,3.0,7.0
2_375,2_375_u,I was thkinking about maybe going into the Robot.,0:02,ROSS,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
2_445,2_445_u,Okay?,0:01,PHOEBE,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E03_260,1_S10E03_260_u,"I think you were mean before you were pregnant, but it's fine.",0:02.708000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E07_267,1_S10E07_267_u,I told you Penny was hiding his things?! It just came up because we-we were talking about secrets and...,0:06.250000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_1627,1_1627_u,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",0:08,PERSON,BBT,0.0,NONE,Excitement,Excitement,6.0,7.0
3_S06E01_317,3_S06E01_317_u,He's our most profitable developer by far.,0:02.542000,OTHER,SV,0.0,NONE,Neutral,Neutral,5.0,6.0
2_301,2_301_u,"Hey, do you know a six-letter word for red?",0:02,CHANDLER,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E06_249,1_S11E06_249_u,"Well, you're... I can get the baby.",0:02.570000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_626,2_626_u,"Cause all I ever get to do now is pregnant stuff, it just bums me out.",0:03,PHOEBE,FRIENDS,0.0,NONE,Anger,Anger,4.0,6.0
1_S12E04_249,1_S12E04_249_u,"You know, I was curious to find out what Tam had done wrong.",0:03.068000,LEONARD,BBT,0.0,NONE,Excitement,Excitement,4.0,6.0
1_3069,1_3069_u,Seems like an awful lot of trouble to go through for intercourse.,0:04,SHELDON,BBT,0.0,NONE,Frustration,Frustration,4.0,5.0
1_S10E09_066,1_S10E09_066_u,"You know what, I've met Bert. Isn't he an indicator of life on other planets?",0:3.571000,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,7.0
1_S12E03_380,1_S12E03_380_u,Really? We'’re joking about this now?,0:03.395000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S12E04_003,1_S12E04_003_u,"Wait, I'm still in them, right?",0:2.569,AMY,BBT,1.0,PRO,Ridicule,Surprise,4.0,7.0
1_2119,1_2119_u,"Kind of makes you feel more alive, doesn't it?",0:04,PERSON,BBT,1.0,PRO,Disgust,Excitement,3.0,8.0
3_S02E01_413,3_S02E01_413_u,Oh. Wow. Thanks for the compliment.,0:2.417,RICHARD,SV,1.0,ILL,Sadness,Happiness,3.0,7.0
1_S11E06_102,1_S11E06_102_u,"No, he is saying how can these prices be so low?",0:0.999999,BERNADETTE,BBT,1.0,ILL,Anger,Excitement,3.0,8.0
2_318,2_318_u,Was it not pain-free?,0:01,PHOEBE,FRIENDS,1.0,PRO,Ridicule,Sadness,3.0,6.0
